Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR,TTC DIFFERENCE,TTC DIFFERENCE LIDAR VS CAMERA
7, AKAZE, FREAK,16.0305,13.7314,2.2991,-2.2991
12, BRISK, BRIEF,12.1969,9.88711,2.30979,-2.30979
5, BRISK, BRIEF,15.0432,12.7299,2.3133,-2.3133
12, BRISK, BRISK,12.239,9.88711,2.35189,-2.35189
10, SHITOMASI, ORB,14.2449,11.8642,2.3807,-2.3807
12, FAST, ORB,12.2689,9.88711,2.38179,-2.38179
12, FAST, BRIEF,12.305,9.88711,2.41789,-2.41789
13, BRISK, BRIEF,11.8439,9.42504,2.41886,-2.41886
14, SHITOMASI, ORB,11.8009,9.30215,2.49875,-2.49875
8, BRISK, ORB,16.305,13.7901,2.5149,-2.5149
16, BRISK, BRISK,11.4475,8.89867,2.54883,-2.54883
7, AKAZE, BRISK,16.3005,13.7314,2.5691,-2.5691
14, FAST, FREAK,11.8844,9.30215,2.58225,-2.58225
11, BRISK, FREAK,14.6574,11.9682,2.6892,-2.6892
16, SHITOMASI, BRIEF,11.5882,8.89867,2.68953,-2.68953
12, FAST, BRISK,12.5958,9.88711,2.70869,-2.70869
18, FAST, FREAK,11.266,8.53557,2.73043,-2.73043
13, FAST, BRIEF,12.1679,9.42504,2.74286,-2.74286
3, ORB, ORB,19.1337,16.3845,2.7492,-2.7492
9, ORB, BRISK,14.8221,12.059,2.7631,-2.7631
12, FAST, FREAK,12.6587,9.88711,2.77159,-2.77159
9, BRISK, BRIEF,14.8539,12.059,2.7949,-2.7949
14, FAST, ORB,12.1132,9.30215,2.81105,-2.81105
15, SHITOMASI, ORB,11.1867,8.3212,2.8655,-2.8655
13, AKAZE, FREAK,12.4116,9.42504,2.98656,-2.98656
14, FAST, BRISK,12.2928,9.30215,2.99065,-2.99065
16, FAST, ORB,11.9209,8.89867,3.02223,-3.02223
13, SHITOMASI, BRIEF,12.5068,9.42504,3.08176,-3.08176
15, FAST, ORB,11.4279,8.3212,3.1067,-3.1067
18, FAST, BRISK,11.6481,8.53557,3.11253,-3.11253
15, BRISK, BRISK,11.4379,8.3212,3.1167,-3.1167
11, ORB, BRIEF,15.0858,11.9682,3.1176,-3.1176
16, BRISK, BRIEF,12.0195,8.89867,3.12083,-3.12083
16, HARRIS, BRISK,12.0207,8.89867,3.12203,-3.12203
14, HARRIS, BRISK,12.4394,9.30215,3.13725,-3.13725
13, FAST, ORB,12.5975,9.42504,3.17246,-3.17246
6, BRISK, BRISK,16.931,13.7511,3.1799,-3.1799
13, FAST, BRISK,12.7071,9.42504,3.28206,-3.28206
18, FAST, ORB,11.9031,8.53557,3.36753,-3.36753
14, SHITOMASI, BRISK,12.725,9.30215,3.42285,-3.42285
5, ORB, FREAK,16.2288,12.7299,3.4989,-3.4989
13, SHITOMASI, FREAK,12.9306,9.42504,3.50556,-3.50556
16, SHITOMASI, ORB,12.5139,8.89867,3.61523,-3.61523
13, SHITOMASI, ORB,13.1009,9.42504,3.67586,-3.67586
18, BRISK, FREAK,12.3167,8.53557,3.78113,-3.78113
13, BRISK, FREAK,13.2237,9.42504,3.79866,-3.79866
15, FAST, BRISK,12.2294,8.3212,3.9082,-3.9082
13, HARRIS, BRISK,13.3551,9.42504,3.93006,-3.93006
13, HARRIS, BRIEF,13.4095,9.42504,3.98446,-3.98446
13, HARRIS, ORB,13.4095,9.42504,3.98446,-3.98446
