Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0011, BRISK, FREAK, 14.6574, 11.9682
0012, BRISK, FREAK, 11.2184, 9.88711
0013, BRISK, FREAK, 13.2237, 9.42504
0014, BRISK, FREAK, 10.114, 9.30215
0015, BRISK, FREAK, 14.1957, 8.3212
0016, BRISK, FREAK, 10.8041, 8.89867
0017, BRISK, FREAK, 9.94683, 11.0301
0018, BRISK, FREAK, 12.3167, 8.53557

0000, ORB, BRISK, 
0001, ORB, BRISK, 11.0758, 12.2891
0002, ORB, BRISK, 11.1036, 13.3547
0003, ORB, BRISK, 31.5313, 16.3845
0004, ORB, BRISK, 11.2833, 14.0764
0005, ORB, BRISK, 79.3232, 12.7299
0006, ORB, BRISK, 7.13793, 13.7511
0007, ORB, BRISK, 8.92814, 13.7314
0008, ORB, BRISK, 10.4367, 13.7901
0009, ORB, BRISK, 14.8221, 12.059
0010, ORB, BRISK, 10.8822, 11.8642
0011, ORB, BRISK, 7.52121, 11.9682
0012, ORB, BRISK, -inf, 9.88711
0013, ORB, BRISK, 21.4216, 9.42504
0014, ORB, BRISK, 11.3527, 9.30215
0015, ORB, BRISK, 31.0397, 8.3212
0016, ORB, BRISK, 36.1547, 8.89867
0017, ORB, BRISK, 18.7061, 11.0301
0018, ORB, BRISK, 50.0669, 8.53557

0000, ORB, BRIEF, 
0001, ORB, BRIEF, 16.5073, 12.2891
0002, ORB, BRIEF, 9.7741, 13.3547
0003, ORB, BRIEF, 9.75076, 16.3845
0004, ORB, BRIEF, 11.1446, 14.0764
0005, ORB, BRIEF, 49.9115, 12.7299
0006, ORB, BRIEF, nan, 13.7511
0007, ORB, BRIEF, nan, 13.7314
0008, ORB, BRIEF, -inf, 13.7901
0009, ORB, BRIEF, 66.1635, 12.059
0010, ORB, BRIEF, 63.5468, 11.8642
0011, ORB, BRIEF, 15.0858, 11.9682
0012, ORB, BRIEF, 24.4668, 9.88711
0013, ORB, BRIEF, 15.5928, 9.42504
0014, ORB, BRIEF, 9.99925, 9.30215
0015, ORB, BRIEF, 13.0251, 8.3212
0016, ORB, BRIEF, 10.0494, 8.89867
0017, ORB, BRIEF, 11.5794, 11.0301
0018, ORB, BRIEF, 12.7433, 8.53557

0000, ORB, ORB, 
0001, ORB, ORB, -inf, 12.2891
0002, ORB, ORB, 8.38399, 13.3547
0003, ORB, ORB, 19.1337, 16.3845
0004, ORB, ORB, 11.8245, 14.0764
0005, ORB, ORB, 14.6857, 12.7299
0006, ORB, ORB, -inf, 13.7511
0007, ORB, ORB, -inf, 13.7314
0008, ORB, ORB, 18.3743, 13.7901
0009, ORB, ORB, -inf, 12.059
0010, ORB, ORB, -inf, 11.8642
0011, ORB, ORB, 9.34128, 11.9682
0012, ORB, ORB, -inf, 9.88711
